klucz,short_name,nationality,club_name,league_name,position
00006747,C. Bonilla,Colombia,Millonarios FC,Colombian Liga Postobón,GK
00010486,C. Booth,Scotland,St. Johnstone FC,Scottish Premiership,LWB
00010877,C. Borchgrevink,Norway,Valerenga Fotball,Norwegian Eliteserien,RB
00002006,C. Borja,Colombia,Sporting CP,Portuguese Liga ZON SAGRES,LCB
00011188,C. BorthwickJackson,England,Oldham Athletic,English League Two,LB
00010009,C. Bramall,England,Colchester United,English League Two,LB
00008675,C. Brannagan,England,Oxford United,English League One,RCM
00001039,C. Bravo,Chile,Real Betis,Spain Primera Division,GK
00002513,C. Bravo,Argentina,Club Atlético Banfield,Argentina Primera División,LB
00011054,C. Brittain,England,Milton Keynes Dons,English League One,RWB
00014471,C. Brown,Australia,Brisbane Roar,Australian Hyundai A-League,LWB
00004864,C. Brunner,Switzerland,DSC Arminia Bielefeld,German 1. Bundesliga,RB
00002002,C. Budescu,Romania,Astra Giurgiu,Romanian Liga I,LW
00012461,C. Burgess,Australia,Accrington Stanley,English League One,LCB
00006918,C. Burke,Scotland,Kilmarnock,Scottish Premiership,RW
00011651,C. Butcher,England,Dundee United,Scottish Premiership,CDM
00004490,C. Caceda,Peru,Melgar FBC,Peruvian Primera División,GK
00004683,C. Calderon,Mexico,Guadalajara,Mexican Liga MX,LB
00008799,C. Camps,Northern Ireland,Fleetwood Town,English League One,RCM
00005680,C. Candido,Uruguay,Liverpool Fútbol Club,Uruguayan Primera División,LB
00009542,C. Caraza,Peru,Sport Huancayo,Peruvian Primera División,RM
00013802,C. Carlsson,Sweden,Falkenbergs FF,Swedish Allsvenskan,RCM
00005066,C. Carmona,Chile,Colo-Colo,Chilian Campeonato Nacional,CM
00006349,C. Casseres Jr,Venezuela,New York Red Bulls,USA Major League Soccer,LCM
00002299,C. Cathcart,Northern Ireland,Watford,English League Championship,RCB
00007138,C. Cavlan,Netherlands,FC Emmen,Holland Eredivisie,LB
00006487,C. Chaplin,England,Barnsley,English League Championship,LS
00008055,C. Chavez,Argentina,Jorge Wilstermann,Liga de Fútbol Profesional Boliviano,CAM
00003723,C. Chimino,Argentina,Patronato,Argentina Primera División,RB
00006168,C. Cisneros,Mexico,Deportivo Toluca,Mexican Liga MX,LWB
00012752,C. Clay,England,Leyton Orient,English League Two,LCM
00013719,C. Clements,England,Cheltenham Town,English League Two,CM
00016015,C. Clifford,Republic of Ireland,Derry City,Rep. Ireland Airtricity League,LDM
00000567,C. Coady,England,Wolverhampton Wanderers,English Premier League,CB
00016912,C. Coleman,Republic of Ireland,Cork City,Rep. Ireland Airtricity League,LCM
00011253,C. Colkett,England,Östersunds FK,Swedish Allsvenskan,RCM
00016045,C. Coll,Republic of Ireland,Derry City,Rep. Ireland Airtricity League,LB
00008966,C. Colman,Paraguay,Barcelona Sporting Club,Ecuadorian Serie A,ST
00014270,C. Cooke,England,Bradford City,English League Two,RCM
00002959,C. Corvalan,Argentina,Unión de Santa Fe,Argentina Primera División,LB
